Country Code;Indicator Name;Indicator Code;2019
NPL;GDP (current US$);NY.GDP.MKTP.CD;30641380604
NRU;GDP (current US$);NY.GDP.MKTP.CD;118223430.1
NZL;GDP (current US$);NY.GDP.MKTP.CD;2.07E+11
OED;GDP (current US$);NY.GDP.MKTP.CD;5.37E+13
OMN;GDP (current US$);NY.GDP.MKTP.CD;76331518669
OSS;GDP (current US$);NY.GDP.MKTP.CD;4.32E+11
PAK;GDP (current US$);NY.GDP.MKTP.CD;2.78E+11
PAN;GDP (current US$);NY.GDP.MKTP.CD;66800800000
PER;GDP (current US$);NY.GDP.MKTP.CD;2.27E+11
PHL;GDP (current US$);NY.GDP.MKTP.CD;3.77E+11
PLW;GDP (current US$);NY.GDP.MKTP.CD;268354919.4
PNG;GDP (current US$);NY.GDP.MKTP.CD;24829107011
POL;GDP (current US$);NY.GDP.MKTP.CD;5.96E+11
PRE;GDP (current US$);NY.GDP.MKTP.CD;1.40E+12
PRI;GDP (current US$);NY.GDP.MKTP.CD;1.05E+11
PRK;GDP (current US$);NY.GDP.MKTP.CD;
PRT;GDP (current US$);NY.GDP.MKTP.CD;2.39E+11
PRY;GDP (current US$);NY.GDP.MKTP.CD;38145288940
PSE;GDP (current US$);NY.GDP.MKTP.CD;
PSS;GDP (current US$);NY.GDP.MKTP.CD;10634784073
PST;GDP (current US$);NY.GDP.MKTP.CD;5.08E+13
PYF;GDP (current US$);NY.GDP.MKTP.CD;
QAT;GDP (current US$);NY.GDP.MKTP.CD;1.76E+11
ROU;GDP (current US$);NY.GDP.MKTP.CD;2.50E+11
RUS;GDP (current US$);NY.GDP.MKTP.CD;1.70E+12
RWA;GDP (current US$);NY.GDP.MKTP.CD;10354417725
SAS;GDP (current US$);NY.GDP.MKTP.CD;3.59E+12
SAU;GDP (current US$);NY.GDP.MKTP.CD;7.93E+11
SDN;GDP (current US$);NY.GDP.MKTP.CD;30513456085
SEN;GDP (current US$);NY.GDP.MKTP.CD;23578084052
SGP;GDP (current US$);NY.GDP.MKTP.CD;3.72E+11
SLB;GDP (current US$);NY.GDP.MKTP.CD;1589913622
SLE;GDP (current US$);NY.GDP.MKTP.CD;4121733705
SLV;GDP (current US$);NY.GDP.MKTP.CD;27022640000
SMR;GDP (current US$);NY.GDP.MKTP.CD;
SOM;GDP (current US$);NY.GDP.MKTP.CD;
SRB;GDP (current US$);NY.GDP.MKTP.CD;51475016532
SSA;GDP (current US$);NY.GDP.MKTP.CD;1.75E+12
SSD;GDP (current US$);NY.GDP.MKTP.CD;
SSF;GDP (current US$);NY.GDP.MKTP.CD;1.77E+12
SST;GDP (current US$);NY.GDP.MKTP.CD;5.20E+11
STP;GDP (current US$);NY.GDP.MKTP.CD;418637389
SUR;GDP (current US$);NY.GDP.MKTP.CD;3697371950
SVK;GDP (current US$);NY.GDP.MKTP.CD;1.05E+11
SVN;GDP (current US$);NY.GDP.MKTP.CD;54174227309
SWE;GDP (current US$);NY.GDP.MKTP.CD;5.31E+11
SWZ;GDP (current US$);NY.GDP.MKTP.CD;4471598727
SXM;GDP (current US$);NY.GDP.MKTP.CD;
SYC;GDP (current US$);NY.GDP.MKTP.CD;1703387387
SYR;GDP (current US$);NY.GDP.MKTP.CD;
TCA;GDP (current US$);NY.GDP.MKTP.CD;1197415000
TCD;GDP (current US$);NY.GDP.MKTP.CD;11314951343
